subject_id,subject_effect_S,subject_effect_C,subject_weight_M,subject_weight_S,subject_weight_C
control_kwlt::5c5099e98ac59200014d0c2c,-0.007237253851305397,-0.09688516547417073,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5c55dfdcb419770001c0e8eb,0.4068476600808078,-0.04715708442114969,0.6317153862014153,0.3460955486044679,0.02218906519411678
control_kwlt::5c55faafb571e7000119e576,0.2934357239989488,-0.09051568370868389,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5c561712f9120f0001d29c4d,-0.3206100898020263,-0.10283750113790686,0.7502246912669789,0.22452056836949066,0.02525474036353044
control_kwlt::5c59836a192d350001d5afbd,0.6894326194084487,-0.05826276099219003,0.5801421190350273,0.3998207088266688,0.020037172138303895
control_kwlt::5c65b3d45416680001bed9fa,0.14176533264766011,-0.022495322516098842,0.6770263062845355,0.2984738540142721,0.024499839701192364
control_kwlt::5c66e7af348487000178de1f,-0.10725872110006959,0.816204564870139,0.6924827286071807,0.24926715881913045,0.05825011257368877
control_kwlt::5c674a8f58b97400013b2b34,0.00031323061503116506,0.3507651073573275,0.6918312033390487,0.2717065029846486,0.03646229367630274
control_kwlt::5c707aa503f85b0001af8c7b,0.29343572399894874,-0.09051568370868383,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5c7288f41384ee000111604a,0.592699041539922,0.3700218289463361,0.5910580864014285,0.37754473246192966,0.031397181136641805
control_kwlt::5c730ca1f674750001df8d09,0.2934357239989487,-0.09051568370868383,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5c765990f33ac60016b7b2a1,-0.007237253851305389,-0.09688516547417063,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5c7700692ceba0001668a988,-0.2974279202306928,-0.09029655780075396,0.7466533037241911,0.22790438546570096,0.025442310810107973
control_kwlt::5c7fb5f2e87c1c00168a7de3,0.05923514067459806,-0.038013025397660605,0.6908828468837748,0.2844633350544264,0.02465381806179875
control_kwlt::5c8406438d2bbf0017e4a416,0.3909713290537321,-0.07699363200551429,0.6349809870929631,0.3433642951840299,0.021654717723006946
control_kwlt::5c85423f39b9760017938311,0.4087026887175772,-0.05973002684447734,0.6315720905547741,0.34652196147931763,0.021905947965908244
control_kwlt::5c8e48e9a50921001771de98,0.4309157097742232,-0.013351387709649862,0.6269113478054287,0.3503218107440145,0.02276684145055688
control_kwlt::5ca345b1506fca0016b358bb,-0.5830219661092219,-0.09385592295140038,0.785549496746285,0.18766249818027933,0.02678800507343556
control_kwlt::5ca6bbf13b5fcf00100996e9,-0.007237253851305408,-0.09688516547417071,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5ca73fe6bcdcc2001291822d,-0.22224945756592743,0.7935197934689825,0.7097308599042961,0.23179664737301087,0.05847249272269305
control_kwlt::5cb882d33f0af9000159e00f,1.3972292679034588,-0.04571861141226661,0.44276010858540216,0.5419779349864002,0.015261956428197613
control_kwlt::5cc1663d56214200010e1ca6,0.2934357239989487,-0.09051568370868383,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5cc39aa64d7a7f0001817c43,0.3309664972484044,-0.07800376750981604,0.6455832932520498,0.3323966185892267,0.02202008815872352
control_kwlt::5cc7f52f4bb96d00018a979f,-0.0072372538513053985,-0.09688516547417063,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5ccdc8af8866b10015fff794,0.2934357239989488,-0.09051568370868389,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5cd6f56d4a405a001747f8bc,-0.23799628900253617,-0.08884379681815424,0.7379589815877461,0.23688279144015742,0.025158226972096513
control_kwlt::5cd9cdd636e33f00194cb6d6,-0.5228395814040083,0.35275664067613194,0.7661550545184047,0.19304161943139295,0.04080332605020235
control_kwlt::5cf8318919f4a3001a24221e,-0.6498440962506293,-0.10827162040531581,0.7942525364440723,0.17902558415158148,0.026721879404346147
control_kwlt::5cf8e0107d0e5c00166bc2db,-0.1788391484555632,-0.09077944534041633,0.7291747632878731,0.24603904726323902,0.02478618944888783
control_kwlt::5d0dd940312297000137d2a7,-0.007237253851305408,-0.09688516547417071,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5d14f846fdfbed0001af2673,-0.007237253851305389,-0.09688516547417063,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5d192384c1e685001a907257,-0.17574307864567587,-0.048649510537094036,0.7279086040736197,0.2462846651192196,0.02580673080716072
control_kwlt::5d1b88dd6fb351001b70ae41,0.1533563288985605,-0.08542586276204685,0.6761505173927945,0.3008791247848613,0.022970357822344203
control_kwlt::5d220904ce856a00189aed31,-0.2295215068933008,-0.05644075543374007,0.7360816643491723,0.2380011274557733,0.025917208195054293
control_kwlt::5d47abcc2dc88900166f27c9,0.2934357239989488,-0.09051568370868389,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5d55531c78036a00010362b8,-0.4242498912334839,-0.0819993010526113,0.7643081123845519,0.20937871591028442,0.026313171705163625
control_kwlt::5d603280c8d0350018a3eacf,-0.320610089802026,-0.10283750113790659,0.7502246912669789,0.2245205683694907,0.02525474036353043
